Pickup Community Area,Ride Date,Total Number of Rides
44,11/26/2013,10
44,04/04/2014,11
44,05/31/2013,4
44,11/26/2014,14
44,04/04/2013,5
44,05/01/2014,17
44,05/31/2014,6
44,05/31/2015,8
44,05/01/2013,7
44,03/19/2013,12
44,05/31/2016,5
44,05/01/2016,2
44,05/01/2015,15
44,05/31/2017,9
44,03/19/2015,14
44,03/19/2014,13
44,03/19/2017,1
44,03/19/2016,6
44,12/11/2013,10
44,12/11/2014,14
44,12/11/2015,15
44,12/11/2016,1
44,02/25/2014,9
44,02/25/2015,13
44,02/25/2016,11
44,02/25/2017,2
44,07/05/2013,7
44,07/05/2014,23
44,07/05/2017,1
44,07/05/2015,6
44,07/05/2016,10
44,03/09/2014,11
44,06/28/2013,3
44,03/09/2013,2
44,06/28/2014,6
44,06/28/2015,5
44,12/21/2015,4
44,06/28/2016,4
44,12/21/2016,4
44,12/21/2013,20
44,06/28/2017,2
44,03/09/2017,4
44,12/21/2014,6
44,03/09/2016,12
44,03/09/2015,11
44,12/03/2014,13
44,12/03/2013,4
44,01/05/2017,9
44,01/05/2016,10
44,01/05/2015,21
44,01/05/2014,1
44,01/05/2013,1
44,09/04/2016,5
44,12/31/2014,11
44,09/04/2014,14
44,12/31/2015,10
44,09/04/2015,11
44,12/31/2016,7
44,09/04/2013,8
44,12/31/2013,5
44,11/16/2013,8
44,11/16/2016,10
44,11/16/2015,10
44,11/16/2014,9
44,08/09/2015,6
44,08/09/2014,12
44,08/09/2016,9
44,08/26/2016,2
44,08/26/2015,12
44,08/26/2014,8
44,08/26/2013,6
44,11/03/2015,11
44,03/16/2017,8
44,11/03/2014,8
44,11/03/2013,3
44,03/16/2016,8
44,03/16/2015,6
44,11/20/2016,5
44,11/20/2015,10
44,11/20/2014,18
44,08/09/2013,5
44,11/20/2013,7
44,09/21/2014,8
44,09/21/2013,3
44,10/08/2013,4
44,09/21/2016,4
44,09/21/2015,5
44,04/11/2017,5
44,10/08/2016,11
44,04/11/2016,10
44,04/11/2015,14
44,04/11/2014,13
44,10/08/2014,10
44,10/08/2015,8
44,04/11/2013,6
44,12/26/2014,9
44,12/26/2015,6
44,07/20/2016,7
44,12/26/2013,11
44,07/20/2014,6
44,07/20/2015,7
44,07/20/2013,2
44,02/05/2015,15
44,02/05/2014,4
44,02/05/2013,3
44,02/05/2017,3
44,02/05/2016,7
44,10/25/2013,6
44,10/25/2014,13
44,10/25/2015,6
44,12/26/2016,4
44,10/25/2016,6
44,08/10/2016,2
44,08/10/2013,1
44,08/10/2014,11
44,08/10/2015,13
44,05/14/2013,8
44,05/14/2014,9
44,06/25/2013,4
44,06/25/2016,7
44,05/14/2017,3
44,06/25/2017,4
44,05/14/2015,12
44,06/25/2014,15
44,06/25/2015,13
44,05/14/2016,13
44,12/06/2013,21
44,12/06/2016,5
44,12/06/2014,17
44,12/06/2015,5
44,01/02/2014,4
44,01/02/2015,3
44,01/02/2016,7
44,01/02/2017,6
44,11/23/2013,5
44,07/18/2017,4
44,03/16/2014,9
44,07/18/2015,12
44,03/16/2013,4
44,07/18/2016,1
44,07/18/2013,1
44,07/18/2014,12
44,01/02/2013,4
44,11/03/2016,6
44,09/01/2016,2
44,09/01/2015,11
44,09/01/2014,4
44,09/01/2013,4
44,12/29/2016,4
44,12/29/2015,6
44,12/29/2014,14
44,12/29/2013,4
44,03/13/2016,5
44,03/13/2017,8
44,03/13/2013,5
44,03/13/2014,24
